,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
36,Humaitá,1.024,316.0,0,"0,56%","573,71",3,"0,95%","5,45",2020-06-14
37,Urucará (1),589,263.0,3,"0,47%","1.617,86",4,"1,52%","24,61",2020-06-14
38,Atalaia do Norte,455,253.0,0,"0,45%","1.270,02",1,"0,40%","5,02",2020-06-14
39,Urucurituba,673,245.0,0,"0,43%","1.062,22",2,"0,82%","8,67",2020-06-14
40,Eirunepé,679,241.0,0,"0,43%","683,24",0,"0,00%","0,00",2020-06-14
41,Anamã,396,237.0,0,"0,42%","1.740,86",0,"0,00%","0,00",2020-06-14
42,Lábrea,277,215.0,3,"0,38%","466,69",3,"1,40%","6,51",2020-06-14
43,Novo Airão,503,190.0,0,"0,34%","976,66",5,"2,63%","25,70",2020-06-14
44,Nova Olinda do Norte,291,271.0,5,"0,48%","725,03",16,"5,90%","42,81",2020-06-14
45,Jutaí,420,185.0,7,"0,33%","1.292,17",12,"6,49%","83,82",2020-06-14
46,Japurá,372,169.0,62,"0,30%","6.134,30",0,"0,00%","0,00",2020-06-14
47,Manaquiri,310,177.0,1,"0,31%","551,32",8,"4,52%","24,92",2020-06-14
48,São Sebastião do Uatumã,302,161.0,0,"0,28%","1.148,36",1,"0,62%","7,13",2020-06-14
49,Maraã (1),455,158.0,23,"0,28%","866,99",2,"1,27%","10,97",2020-06-14
50,Silves,294,144.0,3,"0,25%","1.570,17",4,"2,78%","43,62",2020-06-14
51,Boa Vista do Ramos,276,136.0,3,"0,24%","708,08",2,"1,47%","10,41",2020-06-14
52,Caapiranga,271,129.0,0,"0,23%","986,16",2,"1,55%","15,29",2020-06-14
53,Guajará,162,127.0,0,"0,22%","761,48",1,"0,79%","6,00",2020-06-14
54,Nhamundá,175,110.0,1,"0,19%","519,53",2,"1,82%","9,45",2020-06-14
55,Pauini,131,131.0,0,"0,23%","674,35",0,"0,00%","0,00",2020-06-14
56,Codajás,164,102.0,1,"0,18%","356,18",2,"1,96%","6,98",2020-06-14
57,Manicoré,671,97.0,32,"0,17%","173,99",2,"2,06%","3,59",2020-06-14
58,Juruá (1),435,94.0,0,"0,17%","638,93",0,"0,00%","0,00",2020-06-14
59,Itamarati (1),262,78.0,0,"0,14%","993,50",1,"1,28%","12,74",2020-06-14
60,Santa Isabel do Rio Negro,128,72.0,0,"0,13%","286,21",2,"2,78%","7,95",2020-06-14
61,Careiro da Várzea,151,56.0,0,"0,10%","185,28",4,"7,14%","13,23",2020-06-14
62,Canutama,144,48.0,0,"0,08%","307,12",0,"0,00%","0,00",2020-06-14
63,Apuí,164,27.0,1,"0,05%","122,88",0,"0,00%","0,00",2020-06-14
64,Envira (2),11,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-14
65,Ipixuna (2),18,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-14
